DY
600
61
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
0.379873;0.866296;0.598758;0.594075;0.391816;0.806049;0.090158;0.294586;0.933467;0.237314;0.730045;0.417190;1.000000;0.684270;0.871580;0.730045;0.836689;0.186602;0.284091;0.173393;0.122468;0.421718;0.546925;0.441869;0.743527;0.059609;0.391473;0.000000;0.152076;0.907321;0.058698;0.195812;0.968237;0.350263;0.411403;0.326559;0.158270;0.768267;0.567863;0.231186;0.957973;0.161945;0.398296;0.655729;0.574592;0.848501;0.319170;0.393486;0.954815;0.462552;0.606908;0.018129;0.804652;0.060186;0.906410;0.911208;0.695837;0.773208;0.096019;0.130819;1.000000
0.616509;0.552193;0.197262;0.020535;0.319923;0.377592;0.077662;0.703462;0.098809;0.273432;0.653398;0.269400;0.353116;0.212655;0.000000;0.923702;0.631012;0.713991;0.585661;0.844677;0.242150;0.623165;0.919890;0.699210;0.024041;0.516014;0.603637;0.220997;0.626151;0.405151;0.273585;0.016807;0.244616;0.104486;0.634342;0.055957;0.288029;0.013579;0.231437;0.928961;0.719684;0.587785;0.193909;0.338772;0.619895;0.273340;0.466389;1.000000;0.846708;0.262107;0.803745;0.213888;0.125188;0.712483;0.128416;0.498375;0.612508;0.826229;0.461056;0.444153;1.000000
0.248009;0.425510;0.806490;0.114822;0.031566;0.399340;0.987008;0.913829;0.023318;0.853119;0.315203;0.088682;0.954202;0.906760;0.073705;0.444270;0.761994;0.586512;0.607321;0.191194;0.373957;0.631879;1.000000;0.749836;0.027504;0.764447;0.269764;0.715826;0.993798;0.320871;0.757777;0.782490;0.226109;0.508043;0.460050;0.563959;0.019256;0.832239;0.773612;0.764577;0.598319;0.310384;0.928093;0.925085;0.818512;0.142388;0.415650;0.000000;0.688971;0.912093;0.294487;0.314921;0.980310;0.281984;0.947535;0.489777;0.851259;0.758025;0.584651;0.577121;1.000000
0.392840;0.435875;0.580583;0.891546;0.621386;0.373034;1.000000;0.746986;0.398566;0.021429;0.914718;0.816279;0.427902;0.189248;0.793294;0.637929;0.780698;0.043823;0.431547;0.320353;0.111128;0.099372;0.246162;0.333401;0.460759;0.592638;0.195991;0.312407;0.842778;0.090321;0.034835;0.958572;0.784150;0.690567;0.041428;0.457207;0.055269;0.350523;0.864301;0.639721;0.569756;0.988337;0.615545;0.129354;0.736722;0.735612;0.006096;0.839606;0.403449;0.001493;0.487840;0.000000;0.592915;0.867380;0.118158;0.156637;0.979939;0.097195;0.474329;0.204678;1.000000
0.944176;0.891860;0.987198;0.372733;0.125557;0.465936;0.661666;1.000000;0.407792;0.037806;0.476107;0.454477;0.343740;0.861641;0.287163;0.106433;0.696017;0.904631;0.811822;0.099795;0.816848;0.193118;0.028197;0.531522;0.367944;0.397654;0.703306;0.027975;0.641476;0.485374;0.995195;0.983689;0.256890;0.012075;0.092998;0.463898;0.012391;0.597076;0.075960;0.656757;0.380901;0.739845;0.048427;0.436975;0.274554;0.168010;0.663483;0.901154;0.058732;0.669211;0.730605;0.798546;0.000000;0.103936;0.942121;0.355043;0.206392;0.406641;0.516491;0.699459;1.000000
0.945159;0.980293;0.594242;0.524833;0.010508;0.257490;0.148309;0.767567;0.065931;0.190604;0.787274;0.381135;0.229356;1.000000;0.535350;0.643512;0.000000;0.758864;0.802410;0.834342;0.615623;0.040869;0.653694;0.893375;0.235556;0.828462;0.211486;0.945916;0.545590;0.471520;0.709929;0.759009;0.428794;0.187023;0.350498;0.676335;0.363055;0.585326;0.773593;0.020085;0.265631;0.681091;0.043226;0.572987;0.293453;0.167870;0.101880;0.008616;0.460725;0.186351;0.548926;0.068405;0.495312;0.343037;0.634322;0.201339;0.850294;0.351176;0.527732;0.453627;1.000000
0.848806;0.733924;0.000000;0.225977;0.137916;0.833933;0.565082;0.381141;0.221361;0.073640;0.964803;0.735266;0.631393;0.582289;0.306836;0.267253;0.691560;0.775130;0.376583;0.992404;0.374551;0.580793;0.313739;0.019309;0.730329;0.795924;0.722089;0.366560;0.208512;0.435805;0.492095;0.673791;0.077525;0.552882;0.818712;0.155891;0.942682;1.000000;0.717311;0.418538;0.497085;0.656312;0.565931;0.585971;0.081758;0.891946;0.022759;0.095471;0.522343;0.283483;0.709449;0.494560;0.956889;0.815812;0.008437;0.135510;0.558782;0.283761;0.687496;0.723959;1.000000
0.002046;0.782871;1.000000;0.395453;0.413137;0.740191;0.519159;0.024953;0.035120;0.882366;0.552218;0.845603;0.516208;0.798921;0.801432;0.464115;0.523068;0.108459;0.332373;0.046062;0.947708;0.291873;0.604095;0.080593;0.946468;0.433709;0.529150;0.108893;0.985741;0.289724;0.000000;0.349481;0.197427;0.477760;0.497722;0.528285;0.019249;0.611971;0.322120;0.146617;0.373222;0.924739;0.355249;0.743749;0.357298;0.848021;0.050339;0.739292;0.202260;0.098199;0.607548;0.209755;0.720613;0.984842;0.277998;0.934875;0.149747;0.690983;0.857320;0.171470;1.000000
0.107486;0.312786;0.267329;0.110892;0.987199;0.172707;0.497824;0.767526;0.202658;0.576970;0.312722;0.809356;0.395229;0.550676;0.707352;0.335551;0.119223;0.848303;0.977074;0.567438;0.010034;0.178606;0.448206;0.412281;0.255315;0.223550;0.852986;0.824529;0.618897;0.837144;0.328454;0.782629;0.753862;0.862625;0.829330;0.590401;0.163190;0.007662;0.475857;0.645095;0.949222;1.000000;0.193657;0.570935;0.819649;0.977560;0.491526;0.913403;0.030133;0.523032;0.436834;0.402253;0.002068;0.919271;0.619661;0.707218;0.000000;0.739577;0.544737;0.884426;1.000000
0.221832;0.607305;0.544855;0.352075;0.186827;0.695051;0.015687;0.542299;0.948932;0.889231;0.889061;0.443084;0.301600;0.503135;0.384350;0.356522;0.995570;0.776655;0.410775;0.230796;0.325686;0.043253;0.159806;0.501625;0.330107;0.516390;0.013543;0.468191;0.201399;0.230604;0.666840;0.532401;0.193717;0.865023;0.776289;0.463996;0.662193;0.787151;0.120221;0.020709;0.333657;0.896256;0.038795;0.382180;0.531538;1.000000;0.793951;0.133651;0.564904;0.660884;0.210267;0.000000;0.448918;0.086082;0.581333;0.620627;0.364371;0.305699;0.920097;0.220585;1.000000
