DY
112
61
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61
2.215400;1.902700;1.902700;1.227500;1.227500;0.718440;0.087347;0.087347;-0.341850;-0.257310;-0.257310;-0.172760;-0.172760;-0.341850;-0.090516;-0.090516;-0.172760;-0.341850;-0.341850;-0.341850;-0.341850;-0.343860;-0.598870;-0.598870;-0.428400;-0.432080;-0.432080;-0.343860;-0.343860;-0.170750;0.002015;0.002015;-0.086214;0.084263;0.084263;-0.003965;-0.003965;0.097140;0.641140;0.641140;1.624100;2.228600;2.228600;2.787500;2.787500;2.604500;1.701400;1.701400;0.547350;-0.594050;-0.594050;-1.767800;-1.767800;-2.273300;-2.474100;-2.474100;-2.861100;-3.018800;-3.018800;-3.247300;3.000000
2.665600;1.835500;1.835500;0.877670;0.877670;0.113450;0.113450;-0.714570;-0.714570;-0.639090;-0.639090;-0.535390;-0.535390;-0.428410;-0.428410;-0.428410;-0.428410;-0.538370;-0.538370;-0.538370;-0.538370;-0.428410;-0.428410;-0.428410;-0.428410;-0.428410;-0.428410;-0.318450;-0.318450;-0.211470;-0.211470;-0.428410;-0.428410;-0.428410;-0.428410;-0.321430;-0.321430;-0.321430;-0.321430;-0.535390;-0.535390;-0.538370;-0.538370;-0.321430;-0.321430;-0.324710;-0.324710;0.072847;0.072847;0.658620;0.658620;1.228500;1.228500;1.394400;1.394400;1.664000;1.664000;1.619600;1.619600;1.140800;1.000000
2.484800;1.714600;1.714600;0.653980;0.653980;-0.242360;-0.242360;-0.654220;-0.654220;-0.586990;-0.586990;-0.487330;-0.487330;-0.487330;-0.384880;-0.384880;-0.384880;-0.384880;-0.282430;-0.282430;-0.282430;-0.282430;-0.282430;-0.282430;-0.487330;-0.487330;-0.384880;-0.487330;-0.487330;-0.384880;-0.384880;-0.384880;-0.384880;-0.282430;-0.282430;-0.487330;-0.487330;-0.282430;-0.282430;-0.592210;-0.592210;-0.592210;-0.592210;-0.592210;-0.282430;-0.282430;0.102100;0.102100;0.911190;0.911190;1.314800;1.314800;1.864300;2.106800;2.106800;1.513000;1.513000;0.911190;0.911190;0.722990;2.000000
2.501200;2.094000;2.094000;1.316000;1.316000;0.680900;0.680900;0.002579;0.002579;-0.090578;-0.090578;-0.186300;-0.186300;-0.186300;-0.186300;-0.367100;-0.367100;-0.547900;-0.547900;-0.547900;-0.547900;-0.547900;-0.547900;-0.547900;-0.367100;-0.367100;-0.274890;-0.274890;-0.274890;-0.274890;-0.274890;-0.274890;-0.274890;-0.274890;-0.459310;-0.459310;-0.459310;-0.459310;-0.459310;-0.459310;-0.459310;-0.459310;-0.459310;0.006192;0.006192;0.452370;0.452370;1.069500;1.069500;1.615200;1.615200;2.114700;2.114700;1.854300;1.854300;1.295200;0.344890;0.344890;-0.655460;-0.655460;4.000000
2.315000;2.315000;1.916800;1.916800;0.691040;0.691040;-0.462480;-0.462480;-0.256790;-0.256790;-0.338710;-0.338710;-0.708770;-0.708770;-0.431260;-0.431260;-0.338710;-0.338710;-0.431260;-0.431260;-0.431260;-0.431260;-0.153760;-0.153760;-0.523820;-0.523820;-0.431260;-0.431260;-0.431260;-0.431260;-0.431260;-0.431260;-0.612970;-0.612970;-0.431260;-0.431260;-0.619610;-0.619610;-0.718440;-0.718440;-0.718440;-0.718440;-0.296050;-0.296050;-0.100770;-0.100770;0.468530;0.468530;0.958390;0.958390;1.450700;1.450700;1.331800;1.331800;1.514300;1.514300;0.973090;0.973090;0.776990;0.776990;1.000000
3.043800;3.043800;2.309200;2.309200;1.437500;1.437500;0.258060;0.258060;-0.579790;-0.579790;-0.681560;-0.681560;-0.573330;-0.573330;-0.461660;-0.461660;-0.350000;-0.350000;-0.350000;-0.350000;-0.350000;-0.461660;-0.461660;-0.461660;-0.461660;-0.688100;-0.688100;-0.573330;-0.573330;-0.688100;-0.688100;-0.350000;-0.350000;-0.461660;-0.461660;-0.346890;-0.346890;-0.346890;-0.576440;-0.576440;-0.461660;-0.461660;-0.688100;-0.688100;-0.350000;-0.350000;0.070842;0.070842;0.781430;0.781430;1.325000;1.325000;1.779500;1.779500;1.866200;1.866200;1.866200;1.445300;1.445300;0.476820;4.000000
2.888300;2.445000;2.445000;2.007600;2.007600;1.315400;0.696480;0.696480;-0.151280;-0.151280;-0.043732;-0.488760;-0.488760;-0.377440;-0.377440;-0.484990;-0.377440;-0.377440;-0.484990;-0.484990;-0.158570;-0.377440;-0.377440;-0.488760;-0.488760;-0.488760;-0.488760;-0.488760;-0.711150;-0.603600;-0.603600;-0.492280;-0.492280;-0.492280;-0.610320;-0.610320;-0.221170;-0.221170;0.547620;1.773500;1.773500;2.555900;2.555900;2.723400;2.462300;2.462300;0.980270;0.980270;-0.743080;-1.695900;-1.695900;-1.574900;-1.574900;-1.401400;-0.588600;-0.588600;-0.091147;-0.091147;0.079333;-0.091147;3.000000
2.127200;1.814800;1.814800;1.398000;0.821290;0.821290;0.270870;0.270870;-0.092142;-0.092142;-0.092142;-0.258780;-0.258780;-0.258780;-0.176600;-0.176600;-0.340950;-0.258780;-0.258780;-0.176600;-0.176600;-0.176600;-0.340950;-0.340950;-0.258780;-0.425410;-0.425410;-0.340950;-0.340950;-0.340950;-0.258780;-0.176600;-0.176600;-0.092142;-0.092142;-0.258780;-0.146950;-0.146950;0.474090;1.141400;1.141400;1.863000;1.863000;2.463500;2.566100;2.566100;1.534300;0.138600;0.138600;-1.176100;-2.222900;-2.222900;-2.965100;-2.965100;-3.043800;-2.894100;-2.894100;-3.217700;-3.777700;-3.777700;3.000000
2.768700;2.448700;2.448700;1.912200;1.912200;0.939490;0.118470;0.118470;-0.569240;-0.569240;-0.569240;-0.569240;-0.674150;-0.576510;-0.576510;-0.576510;-0.576510;-0.475160;-0.475160;-0.475160;-0.265330;-0.265330;-0.370240;-0.370240;-0.478470;-0.370240;-0.370240;-0.478470;-0.478470;-0.694630;-0.370240;-0.370240;-0.157110;-0.157110;-0.370240;-0.370240;-0.262020;-0.259000;-0.259000;-0.478470;-0.478470;-0.694630;-0.370240;-0.370240;0.096604;0.096604;0.900610;0.900610;1.465400;2.071000;2.071000;2.345100;2.345100;1.997200;1.301400;1.301400;0.736580;0.736580;0.361870;0.361870;2.000000
2.546600;2.036200;2.036200;1.326500;0.671580;0.671580;-0.035878;-0.035878;-0.579700;-0.420890;-0.420890;-0.342530;-0.342530;-0.342530;-0.261690;-0.261690;-0.178600;-0.344780;-0.344780;-0.261690;-0.344780;-0.344780;-0.261690;-0.261690;-0.261690;-0.178600;-0.178600;-0.344780;-0.178600;-0.178600;-0.429850;-0.344780;-0.344780;-0.344780;-0.261690;-0.261690;-0.151680;-0.151680;0.627460;1.279700;1.279700;1.989600;2.499500;2.499500;2.462400;2.462400;1.205300;-0.213380;-0.213380;-1.409600;-2.462200;-2.462200;-3.156800;-2.449700;-2.449700;-2.438000;-2.438000;-3.326200;-3.773400;-3.773400;3.000000
